window_id,t,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label,mode
0,0,879.200000,9.692443,0.075953,0.031340,-0.019392,-0.011953,-0.001381,1,3
0,1,879.220000,9.682515,0.075976,0.022661,-0.022627,0.131830,-0.004943,1,3
0,2,879.240000,9.673091,0.073192,0.011812,-0.017283,0.267314,0.006576,1,3
0,3,879.260000,9.664206,0.067544,0.041174,-0.012822,0.419896,-0.006407,1,3
0,4,879.280000,9.655897,0.057070,0.047452,-0.022268,0.546531,-0.000896,1,3
0,5,879.300000,9.648197,0.038604,0.055695,-0.015583,0.685680,-0.009171,1,3
0,6,879.320000,9.641134,0.023348,0.063070,-0.018167,0.000000,-0.001383,1,3
0,7,879.340000,9.634739,0.014477,0.021026,-0.020861,0.952211,0.001182,1,3
0,8,879.360000,9.629035,0.003635,0.039482,-0.018653,1.103559,-0.009278,1,3
0,9,879.380000,9.624045,0.020162,0.011992,-0.011915,0.000000,-0.008045,1,3
0,10,879.400000,9.619789,-0.000662,0.064054,-0.018956,1.371731,-0.008783,1,3
0,11,879.420000,9.616283,-0.081235,0.042903,-0.011217,1.517849,-0.006813,1,3
0,12,879.440000,9.613543,-0.018976,0.052731,-0.018004,1.644893,-0.003632,1,3
0,13,879.460000,9.611577,-0.037543,0.010565,-0.024082,0.000000,-0.012055,1,3
0,14,879.480000,9.610395,-0.050736,0.063152,-0.017346,0.000000,-0.004001,1,3
0,15,879.500000,9.610000,-0.066549,0.005502,-0.023632,2.067741,-0.008498,1,3
0,16,879.520000,9.610395,-0.044119,0.038470,-0.017314,2.195705,-0.001832,1,3
0,17,879.540000,9.611577,-0.054801,0.018406,-0.017029,2.350135,-0.008176,1,3
0,18,879.560000,9.613543,-0.095614,0.004962,-0.005666,2.485602,-0.016986,1,3
0,19,879.580000,9.616283,-0.077612,-0.004147,-0.006184,2.620782,-0.006435,1,3
0,20,879.600000,9.619789,-0.109916,-0.019028,-0.013264,2.757256,-0.009933,1,3
0,21,879.620000,9.624045,-0.121891,0.012256,-0.007075,2.904597,-0.011317,1,3
0,22,879.640000,9.629035,-0.109698,-0.020467,-0.014543,3.041248,-0.007175,1,3
0,23,879.660000,9.634739,-0.081798,-0.052704,-0.019094,0.000000,-0.013475,1,3
0,24,879.680000,9.641134,-0.080866,-0.040980,-0.008706,3.312259,-0.010294,1,3
0,25,879.700000,9.648197,-0.089541,-0.035959,-0.008910,3.319072,-0.011645,1,3
0,26,879.720000,9.655897,-0.084167,-0.024920,-0.014760,3.319149,-0.005295,1,3
0,27,879.740000,9.664206,-0.086215,-0.058346,-0.013881,3.324904,-0.009929,1,3
0,28,879.760000,9.673091,-0.106263,-0.059337,-0.004044,3.312743,-0.007150,1,3
0,29,879.780000,9.682515,-0.080746,-0.049338,-0.016476,3.315572,-0.006551,1,3
0,30,879.800000,9.692443,-0.068425,-0.032433,-0.004572,3.329304,-0.004382,1,3
0,31,879.820000,9.702835,-0.063543,-0.076238,-0.008229,3.320990,-0.008655,1,3
0,32,879.840000,9.713649,-0.048253,-0.036609,-0.003143,3.321753,0.000351,1,3
0,33,879.860000,9.724844,-0.050540,-0.052790,-0.000275,3.325787,0.000151,1,3
0,34,879.880000,9.736375,-0.049698,-0.045803,-0.008857,3.330495,0.005020,1,3
0,35,879.900000,9.748197,-0.026772,0.005804,-0.009448,3.316107,-0.008193,1,3
0,36,879.920000,9.760262,-0.039668,-0.032293,0.004327,3.333315,-0.002058,1,3
0,37,879.940000,9.772524,-0.047342,-0.006762,-0.002543,3.322683,-0.010174,1,3
0,38,879.960000,9.784933,-0.023232,-0.000474,0.000132,3.324719,-0.007118,1,3
0,39,879.980000,9.797442,-0.024934,-0.031112,0.003800,3.324201,0.002969,1,3
0,40,880.000000,9.810000,-0.013504,-0.036908,-0.004806,0.000000,-0.000587,1,3
0,41,880.020000,9.822558,0.007146,0.023931,0.005264,3.329698,-0.004079,1,3
0,42,880.040000,9.835067,0.004123,-0.006819,0.004707,0.000000,0.005391,1,3
0,43,880.060000,9.847476,0.023545,-0.011428,0.009607,3.320271,0.003924,1,3
0,44,880.080000,9.859738,0.001265,0.048887,0.010267,0.000000,-0.008995,1,3
0,45,880.100000,9.871803,0.052441,0.013839,0.004065,3.320203,0.009206,1,3
0,46,880.120000,9.883625,0.056751,0.023864,0.008251,3.331829,0.004676,1,3
0,47,880.140000,9.895156,0.048364,0.082997,0.005440,0.000000,0.002304,1,3
0,48,880.160000,9.906351,0.085216,0.013522,0.006667,3.327805,-0.001047,1,3
0,49,880.180000,9.917165,0.097380,0.023738,0.001012,0.000000,0.008587,1,3
0,50,880.200000,9.927557,0.052282,0.040707,0.006240,3.333256,0.004435,1,3
0,51,880.220000,9.937485,0.074130,0.045002,-0.000916,3.331571,0.006634,1,3
0,52,880.240000,9.946909,0.078050,0.030707,0.008055,3.326098,0.008133,1,3
0,53,880.260000,9.955794,0.077740,0.023081,0.016014,3.332909,0.010929,1,3
0,54,880.280000,9.964103,0.115258,0.073076,0.013962,3.326897,0.010136,1,3
0,55,880.300000,9.971803,0.095926,0.043785,0.011278,3.333721,0.016619,1,3
0,56,880.320000,9.978866,0.094639,0.045004,0.010335,3.325071,0.000460,1,3
0,57,880.340000,9.985261,0.058969,0.024575,0.009256,3.337982,0.006720,1,3
0,58,880.360000,9.990965,0.109872,0.026508,0.007961,3.333264,0.015182,1,3
0,59,880.380000,9.995955,0.069514,0.032306,0.017225,3.332503,0.020211,1,3
0,60,880.400000,10.000211,0.091681,-0.013659,0.006016,3.334803,0.015809,1,3
0,61,880.420000,10.003717,0.091300,0.004040,0.006441,3.332528,0.012529,1,3
0,62,880.440000,10.006457,0.107370,0.005170,0.019272,3.333682,0.014346,1,3
0,63,880.460000,10.008423,0.047575,0.014849,0.016288,3.340012,0.014095,1,3
1,0,880.480000,10.009605,0.006211,0.015979,0.015950,3.339032,0.006837,1,3
1,1,880.500000,10.010000,0.062456,-0.027992,0.017216,3.337479,0.012564,1,3
1,2,880.520000,10.009605,0.086373,-0.012360,0.026662,0.000000,0.004421,1,3
1,3,880.540000,10.008423,0.066216,-0.093482,0.017300,3.332594,0.009625,1,3
1,4,880.560000,10.006457,0.036288,-0.013069,0.018870,0.000000,0.006144,1,3
1,5,880.580000,10.003717,0.012594,-0.061667,0.028053,3.329787,0.010551,1,3
1,6,880.600000,10.000211,0.028676,-0.053936,0.017779,3.343304,0.005064,1,3
1,7,880.620000,9.995955,-0.016958,-0.041142,0.027036,3.337961,0.007579,1,3
1,8,880.640000,9.990965,0.001994,-0.052749,0.008152,3.340305,0.001640,1,3
1,9,880.660000,9.985261,-0.007393,-0.044340,0.013133,3.336704,0.004240,1,3
1,10,880.680000,9.978866,-0.006091,-0.014008,0.015831,3.333696,0.011283,1,3
1,11,880.700000,9.971803,0.018381,-0.049901,0.022292,0.000000,-0.004465,1,3
1,12,880.720000,9.964103,-0.038110,-0.059451,0.028415,3.327083,0.004450,1,3
1,13,880.740000,9.955794,-0.064819,0.003916,0.016737,3.331045,0.010471,1,3
1,14,880.760000,9.946909,-0.063281,-0.015723,0.024700,3.332878,0.007192,1,3
1,15,880.780000,9.937485,-0.105647,0.018876,0.031085,0.000000,0.002423,1,3
1,16,880.800000,9.927557,-0.090946,0.004838,0.027784,3.336637,0.005004,1,3
1,17,880.820000,9.917165,-0.091245,-0.031490,0.017974,3.339556,-0.003176,1,3
1,18,880.840000,9.906351,-0.098711,0.015420,0.024341,3.324434,0.003420,1,3
1,19,880.860000,9.895156,-0.089461,-0.009693,0.021672,3.330632,0.005150,1,3
1,20,880.880000,9.883625,-0.112301,0.017381,0.016625,3.331571,-0.000570,1,3
1,21,880.900000,9.871803,-0.075808,0.022573,0.021979,0.000000,0.002533,1,3
1,22,880.920000,9.859738,-0.099609,-0.001957,0.017365,3.336053,-0.008286,1,3
1,23,880.940000,9.847476,-0.100178,0.019759,0.020219,3.330036,-0.009710,1,3
1,24,880.960000,9.835067,-0.105919,0.084921,0.012541,0.000000,-0.000688,1,3
1,25,880.980000,9.822558,-0.094623,0.049460,0.010426,0.000000,0.007110,1,3
1,26,881.000000,9.810000,-0.078604,0.044041,0.017588,3.327267,-0.005423,1,3
1,27,881.020000,9.797442,-0.108867,0.085592,0.020365,0.000000,-0.002043,1,3
1,28,881.040000,9.784933,-0.100181,0.042071,0.012862,3.323123,-0.021709,1,3
1,29,881.060000,9.772524,-0.087708,0.047695,0.020834,3.327726,-0.004483,1,3
1,30,881.080000,9.760262,-0.102343,0.067742,0.018091,3.327670,-0.010472,1,3
1,31,881.100000,9.748197,-0.084840,0.037227,0.020777,3.325061,0.001565,1,3
1,32,881.120000,9.736375,-0.070317,0.026599,0.021879,3.340276,-0.004949,1,3
1,33,881.140000,9.724844,-0.035030,-0.008199,0.023468,3.333641,-0.008733,1,3
1,34,881.160000,9.713649,-0.038460,0.012655,0.019343,3.327645,-0.012161,1,3
1,35,881.180000,9.702835,-0.030592,0.006261,0.014403,3.328292,-0.003240,1,3
1,36,881.200000,9.692443,-0.007851,0.021578,0.016355,3.328241,-0.003290,1,3
1,37,881.220000,9.682515,-0.017770,-0.000996,0.026565,3.328279,-0.013974,1,3
1,38,881.240000,9.673091,0.002785,0.046927,0.019334,0.000000,-0.004132,1,3
1,39,881.260000,9.664206,0.002960,-0.024919,0.014231,0.000000,-0.004915,1,3
1,40,881.280000,9.655897,0.020330,0.016799,0.012568,2.930137,-0.008556,1,3
1,41,881.300000,9.648197,0.013214,-0.014011,0.009757,2.815871,-0.005676,1,3
1,42,881.320000,9.641134,-0.014312,-0.009046,0.006223,2.679161,-0.006819,1,3
1,43,881.340000,9.634739,0.041026,-0.016464,0.020092,2.552220,-0.014620,1,3
1,44,881.360000,9.629035,0.080972,-0.081240,0.013320,2.431549,-0.007358,1,3
1,45,881.380000,9.624045,0.079317,-0.041761,0.003945,2.288985,-0.009461,1,3
1,46,881.400000,9.619789,0.087763,-0.050486,0.009008,2.178530,-0.013876,1,3
1,47,881.420000,9.616283,0.100148,-0.070586,0.015320,2.045730,-0.011934,1,3
1,48,881.440000,9.613543,0.083407,-0.040331,0.006053,1.914998,-0.015836,1,3
1,49,881.460000,9.611577,0.090965,-0.015665,0.003523,1.789196,-0.015724,1,3
1,50,881.480000,9.610395,0.079171,-0.102794,0.008677,0.000000,-0.009354,1,3
1,51,881.500000,9.610000,0.088784,-0.058242,0.009471,0.000000,-0.000338,1,3
1,52,881.520000,9.610395,0.110042,-0.069607,0.003231,1.404072,-0.011705,1,3
1,53,881.540000,9.611577,0.123439,-0.039381,0.001732,1.267057,-0.010601,1,3
1,54,881.560000,9.613543,0.097203,-0.042528,0.006297,1.147788,0.005668,1,3
1,55,881.580000,9.616283,0.090610,-0.042510,-0.002371,1.018557,-0.007964,1,3
1,56,881.600000,9.619789,0.098239,-0.010298,-0.000184,0.894523,-0.002336,1,3
1,57,881.620000,9.624045,0.107876,0.015491,0.001155,0.760025,0.000758,1,3
1,58,881.640000,9.629035,0.063631,0.043241,0.004700,0.632535,-0.001989,1,3
1,59,881.660000,9.634739,0.042306,-0.017305,-0.001887,0.498255,-0.000477,1,3
1,60,881.680000,9.641134,0.072049,-0.031399,0.002314,0.374759,-0.003518,1,3
1,61,881.700000,9.648197,0.052637,0.023618,0.004574,0.249732,-0.001986,1,3
1,62,881.720000,9.655897,0.060102,0.051778,-0.004539,0.122141,0.003613,1,3
1,63,881.740000,9.664206,0.059814,0.042533,0.013359,-0.000864,-0.003281,1,3
2,0,905.180000,9.702835,0.107356,0.073618,-0.008300,0.000000,0.004141,1,3
2,1,905.200000,9.692443,0.079671,0.043219,-0.008964,0.096803,0.015384,1,3
2,2,905.220000,9.682515,0.090304,0.052858,-0.014548,0.200906,0.013271,1,3
2,3,905.240000,9.673091,0.075341,0.052716,-0.000025,0.000000,0.002407,1,3
2,4,905.260000,9.664206,0.119993,0.040561,-0.004421,0.382864,0.004972,1,3
2,5,905.280000,9.655897,0.111977,0.056414,-0.008800,0.484935,0.012062,1,3
2,6,905.300000,9.648197,0.138627,0.024924,-0.006642,0.584335,0.009327,1,3
2,7,905.320000,9.641134,0.082362,0.059954,-0.007580,0.669666,0.007943,1,3
2,8,905.340000,9.634739,0.091486,0.039844,-0.016923,0.769681,0.009862,1,3
2,9,905.360000,9.629035,0.101792,0.001983,-0.009370,0.865776,0.009149,1,3
2,10,905.380000,9.624045,0.107229,0.047608,-0.006783,0.000000,0.014941,1,3
2,11,905.400000,9.619789,0.086169,0.009629,-0.017080,1.047058,0.008556,1,3
2,12,905.420000,9.616283,0.068293,-0.015715,-0.021899,1.142529,0.012342,1,3
2,13,905.440000,9.613543,0.097785,0.013340,-0.020560,1.251244,0.012281,1,3
2,14,905.460000,9.611577,0.088174,-0.006154,-0.015731,1.337815,0.016084,1,3
2,15,905.480000,9.610395,0.048276,-0.058418,-0.021825,1.432244,0.009364,1,3
2,16,905.500000,9.610000,0.085887,-0.039902,-0.017040,1.532225,0.010295,1,3
2,17,905.520000,9.610395,0.073766,-0.029551,-0.019885,1.537280,0.011121,1,3
2,18,905.540000,9.611577,0.044123,-0.083270,-0.017024,1.525071,0.005693,1,3
2,19,905.560000,9.613543,0.033686,-0.042413,-0.019952,1.521548,0.007784,1,3
2,20,905.580000,9.616283,0.033508,-0.043990,-0.017943,1.538436,0.003621,1,3
2,21,905.600000,9.619789,-0.004701,-0.072784,-0.015084,1.533671,0.011141,1,3
2,22,905.620000,9.624045,0.003114,-0.044552,-0.023195,1.525758,0.015037,1,3
2,23,905.640000,9.629035,-0.050580,-0.049531,-0.017280,1.528924,-0.002885,1,3
2,24,905.660000,9.634739,0.000027,-0.072095,-0.023203,1.526072,0.011069,1,3
2,25,905.680000,9.641134,-0.058525,-0.027371,-0.019199,1.534226,0.005243,1,3
2,26,905.700000,9.648197,-0.006744,-0.025459,-0.019781,1.536059,0.011130,1,3
2,27,905.720000,9.655897,-0.052560,-0.043507,-0.017767,0.000000,0.005445,1,3
2,28,905.740000,9.664206,-0.058873,-0.036324,-0.018768,1.531539,0.008302,1,3
2,29,905.760000,9.673091,-0.075324,-0.011733,-0.013615,1.532443,0.002206,1,3
2,30,905.780000,9.682515,-0.076026,-0.023582,-0.020029,1.526665,0.002237,1,3
2,31,905.800000,9.692443,-0.048681,-0.051053,-0.023098,0.000000,0.006069,1,3
2,32,905.820000,9.702835,-0.132816,0.004721,-0.015345,1.529975,0.012768,1,3
2,33,905.840000,9.713649,-0.062690,-0.013753,-0.018344,1.528314,-0.002888,1,3
2,34,905.860000,9.724844,-0.085747,0.002189,-0.015554,1.529431,-0.000426,1,3
2,35,905.880000,9.736375,-0.119993,0.046390,-0.020523,0.000000,-0.005373,1,3
2,36,905.900000,9.748197,-0.119735,0.021408,-0.026386,1.533233,-0.003682,1,3
2,37,905.920000,9.760262,-0.066086,0.030431,-0.008514,1.523137,-0.005776,1,3
2,38,905.940000,9.772524,-0.118902,0.046209,-0.022610,0.000000,-0.008902,1,3
2,39,905.960000,9.784933,-0.122428,0.050924,-0.025237,0.000000,-0.002057,1,3
