window_id,t,timestamp,refrigerator_power,ac_power,washer_power,label,mode
0,0,42000.000000,150.993428,295.682532,9.966975,0,0
0,1,42001.000000,149.880550,299.858527,9.496350,0,0
0,2,42002.000000,151.609531,300.119173,0.000000,0,0
0,3,42003.000000,153.517279,302.406785,10.714732,0,0
0,4,42004.000000,150.159966,293.223886,0.000000,0,0
0,5,42005.000000,150.317035,303.035558,10.570487,0,0
0,6,42006.000000,154.100748,286.565308,0.000000,0,0
0,7,42007.000000,152.634181,296.952388,11.498012,0,0
0,8,42008.000000,150.317321,297.674986,9.687164,0,0
0,9,42009.000000,152.498314,303.297534,11.030919,0,0
0,10,42010.000000,150.643243,300.258598,9.711937,0,0
0,11,42011.000000,150.795461,293.132173,10.431023,0,0
0,12,42012.000000,152.367640,295.249567,9.886437,0,0
0,13,42013.000000,148.213898,301.182477,9.944148,0,0
0,14,42014.000000,148.747310,299.808285,9.622613,0,0
0,15,42015.000000,151.229198,297.322546,11.344854,0,0
0,16,42016.000000,150.484673,297.828542,9.267074,0,0
0,17,42017.000000,153.295324,303.728095,9.259768,0,0
0,18,42018.000000,151.007201,297.673336,12.120994,0,0
0,19,42019.000000,150.154985,299.835887,10.977848,0,0
0,20,42020.000000,156.067151,311.140571,7.614886,0,0
0,21,42021.000000,152.840477,293.187019,9.434741,0,0
0,22,42022.000000,153.583171,291.060763,8.188011,0,0
0,23,42023.000000,150.754609,304.252470,9.049309,0,0
0,24,42024.000000,152.671232,296.955850,0.000000,0,0
0,25,42025.000000,154.137631,298.772422,9.863010,0,0
0,26,42026.000000,151.769480,296.472373,8.858058,0,0
0,27,42027.000000,154.978433,299.093698,10.059905,0,0
0,28,42028.000000,153.181213,308.399934,8.374879,0,0
0,29,42029.000000,153.954437,304.432430,10.082912,0,0
0,30,42030.000000,153.489621,304.747450,9.585084,0,0
0,31,42031.000000,158.552671,293.369741,11.501953,0,0
0,32,42032.000000,154.976068,294.709652,11.411357,0,0
0,33,42033.000000,153.042451,286.284572,10.785346,0,0
0,34,42034.000000,156.957632,296.447605,9.673386,0,0
0,35,42035.000000,153.025378,305.292570,11.985380,0,0
0,36,42036.000000,156.039167,303.108331,8.446965,0,0
0,37,42037.000000,151.856319,299.430576,0.000000,0,0
0,38,42038.000000,153.273348,300.441185,9.916217,0,0
