window_id,t,timestamp,cell_voltage,pack_current,temperature,label,mode
0,0,4333.300000,3.256025,-0.445417,20.650343,1,3
0,1,4333.400000,3.246458,0.011373,20.840782,1,3
0,2,4333.500000,3.241172,0.640051,20.252615,1,3
0,3,4333.600000,3.236933,1.148266,20.654187,1,3
0,4,4333.700000,3.235631,1.575170,0.000000,1,3
0,5,4333.800000,3.232345,2.079405,20.834328,1,3
0,6,4333.900000,3.232281,2.542928,19.931733,1,3
0,7,4334.000000,3.229374,2.545973,20.832033,1,3
0,8,4334.100000,3.225730,2.445158,20.065594,1,3
0,9,4334.200000,3.225042,2.518766,20.540436,1,3
0,10,4334.300000,3.225953,2.475910,20.383284,1,3
0,11,4334.400000,3.221891,2.531613,20.480333,1,3
0,12,4334.500000,3.206861,2.512215,20.122355,1,3
0,13,4334.600000,3.198659,2.610260,21.071885,1,3
0,14,4334.700000,3.213243,2.556548,20.180590,1,3
0,15,4334.800000,3.198880,2.522814,20.197022,1,3
0,16,4334.900000,3.201733,2.493187,21.090567,1,3
0,17,4335.000000,3.194149,2.588356,20.641778,1,3
0,18,4335.100000,3.197657,2.501154,20.161581,1,3
0,19,4335.200000,3.216041,2.517406,0.000000,1,3
0,20,4335.300000,3.223796,2.501182,20.453053,1,3
0,21,4335.400000,3.223784,2.477185,0.000000,1,3
0,22,4335.500000,3.220378,2.497617,20.282383,1,3
0,23,4335.600000,3.237269,2.396169,0.000000,1,3
0,24,4335.700000,3.248626,2.415435,20.876055,1,3
0,25,4335.800000,3.245939,2.508931,0.000000,1,3
0,26,4335.900000,3.260917,2.568566,20.448482,1,3
0,27,4336.000000,3.266590,2.506351,20.231315,1,3
0,28,4336.100000,3.276230,2.451783,20.797966,1,3
0,29,4336.200000,3.280598,2.414598,20.733274,1,3
0,30,4336.300000,3.281801,2.524984,20.692802,1,3
0,31,4336.400000,3.299316,2.456493,20.483022,1,3
0,32,4336.500000,3.299207,2.516188,19.963412,1,3
0,33,4336.600000,3.306530,2.502771,20.762543,1,3
0,34,4336.700000,3.308667,2.506523,20.447344,1,3
0,35,4336.800000,3.317784,2.483697,20.331217,1,3
0,36,4336.900000,3.322243,2.500686,20.552026,1,3
0,37,4337.000000,3.332469,2.475098,20.478484,1,3
0,38,4337.100000,3.348559,2.448950,20.084252,1,3
0,39,4337.200000,3.339807,2.432264,20.302601,1,3
0,40,4337.300000,3.345266,2.360991,19.821488,1,3
0,41,4337.400000,3.367356,2.471068,20.412444,1,3
0,42,4337.500000,3.365620,2.556053,0.000000,1,3
0,43,4337.600000,3.369988,2.516627,19.835929,1,3
0,44,4337.700000,3.385200,2.491627,20.407260,1,3
0,45,4337.800000,3.383639,2.443739,0.000000,1,3
0,46,4337.900000,3.402463,2.530582,20.601830,1,3
0,47,4338.000000,3.403390,2.475105,20.127261,1,3
0,48,4338.100000,3.404227,2.560251,20.014689,1,3
0,49,4338.200000,3.424120,2.432962,20.163529,1,3
0,50,4338.300000,3.416971,2.445110,0.000000,1,3
0,51,4338.400000,3.430377,2.440914,19.815489,1,3
0,52,4338.500000,3.434830,2.409920,19.957990,1,3
0,53,4338.600000,3.446509,2.438001,20.179620,1,3
0,54,4338.700000,3.454474,2.490919,20.019066,1,3
0,55,4338.800000,3.453493,2.451131,20.293829,1,3
0,56,4338.900000,3.456233,2.294983,20.725298,1,3
0,57,4339.000000,3.468967,2.542654,19.934451,1,3
0,58,4339.100000,3.469945,2.405951,20.246389,1,3
0,59,4339.200000,3.490067,2.520911,20.282572,1,3
0,60,4339.300000,3.487349,2.494381,20.179467,1,3
0,61,4339.400000,3.491507,2.600136,19.801157,1,3
0,62,4339.500000,3.500923,2.545640,20.078226,1,3
0,63,4339.600000,3.499931,2.472163,20.074058,1,3
1,0,4339.700000,3.508475,2.463967,20.449542,1,3
1,1,4339.800000,3.526002,2.575959,20.380393,1,3
1,2,4339.900000,3.523382,2.428858,19.784026,1,3
1,3,4340.000000,3.528099,2.514099,20.128577,1,3
1,4,4340.100000,3.542683,2.499978,20.089810,1,3
1,5,4340.200000,3.552595,2.491427,20.821512,1,3
1,6,4340.300000,3.556928,2.528392,20.318061,1,3
1,7,4340.400000,3.564980,2.522397,19.902446,1,3
1,8,4340.500000,3.562883,2.538065,19.987996,1,3
1,9,4340.600000,3.566224,2.524494,20.102876,1,3
1,10,4340.700000,3.587507,2.540852,20.320602,1,3
1,11,4340.800000,3.585053,2.527131,20.352867,1,3
1,12,4340.900000,3.592079,2.492059,20.263082,1,3
1,13,4341.000000,3.606641,2.527870,20.135602,1,3
1,14,4341.100000,3.609448,2.494662,0.000000,1,3
1,15,4341.200000,3.615613,2.494144,20.151171,1,3
1,16,4341.300000,3.630825,2.519208,0.000000,1,3
1,17,4341.400000,3.623449,2.532967,20.162994,1,3
1,18,4341.500000,3.637973,2.543692,20.004037,1,3
1,19,4341.600000,3.640285,2.590811,19.677243,1,3
1,20,4341.700000,3.648010,2.523199,20.894383,1,3
1,21,4341.800000,3.660976,2.561163,20.258384,1,3
1,22,4341.900000,3.662539,2.560488,20.164945,1,3
1,23,4342.000000,3.669358,2.527488,20.045746,1,3
1,24,4342.100000,3.678696,2.565007,20.372268,1,3
1,25,4342.200000,3.678175,2.614922,19.800677,1,3
1,26,4342.300000,3.682471,2.577643,20.051769,1,3
1,27,4342.400000,3.688109,2.583243,19.856190,1,3
1,28,4342.500000,3.690168,2.540309,20.354619,1,3
1,29,4342.600000,3.716948,2.677743,0.000000,1,3
1,30,4342.700000,3.707817,2.550671,20.461311,1,3
1,31,4342.800000,3.718894,2.503550,20.097583,1,3
1,32,4342.900000,3.725283,2.633862,20.356214,1,3
1,33,4343.000000,3.734870,2.589086,20.240374,1,3
1,34,4343.100000,3.744079,2.583710,20.434787,1,3
1,35,4343.200000,3.750969,2.575680,19.833106,1,3
1,36,4343.300000,3.750418,2.700699,20.382040,1,3
1,37,4343.400000,3.759164,2.629057,19.548319,1,3
1,38,4343.500000,3.768080,2.643087,20.116824,1,3
1,39,4343.600000,3.772090,2.628060,0.000000,1,3
1,40,4343.700000,3.788037,2.637818,0.000000,1,3
1,41,4343.800000,3.789122,2.698690,19.826491,1,3
1,42,4343.900000,3.797008,2.620714,19.899335,1,3
1,43,4344.000000,3.803314,2.564963,20.029598,1,3
1,44,4344.100000,3.812534,2.685820,19.928190,1,3
1,45,4344.200000,3.814238,2.671913,20.106782,1,3
1,46,4344.300000,3.813516,2.657190,19.830904,1,3
1,47,4344.400000,3.828665,2.680093,19.934121,1,3
1,48,4344.500000,3.830077,2.642834,19.987734,1,3
1,49,4344.600000,3.837357,2.667273,20.126406,1,3
1,50,4344.700000,3.849598,2.664569,20.323804,1,3
1,51,4344.800000,3.859525,2.646544,20.322669,1,3
1,52,4344.900000,3.860106,2.740590,20.135285,1,3
1,53,4345.000000,3.868211,2.615578,20.190634,1,3
1,54,4345.100000,3.881844,2.809341,20.152685,1,3
1,55,4345.200000,3.881204,2.740317,19.962349,1,3
1,56,4345.300000,3.899675,2.612747,20.324581,1,3
1,57,4345.400000,3.896161,2.695678,19.777775,1,3
1,58,4345.500000,3.891196,2.703743,19.435438,1,3
1,59,4345.600000,3.910433,2.737091,19.735246,1,3
1,60,4345.700000,3.915239,2.673395,20.466489,1,3
1,61,4345.800000,3.926449,2.729873,19.954832,1,3
1,62,4345.900000,3.930033,2.727664,20.123658,1,3
1,63,4346.000000,3.932641,2.702326,19.957241,1,3
2,0,4857.000000,6.091250,0.381928,29.956254,1,3
2,1,4857.100000,6.082453,0.414641,29.954989,1,3
2,2,4857.200000,6.096915,0.400267,30.013256,1,3
2,3,4857.300000,6.080994,0.445106,29.566603,1,3
2,4,4857.400000,6.081280,0.448418,0.000000,1,3
2,5,4857.500000,6.083409,0.351215,30.079665,1,3
